URL,Headline,Content_Pubdate,Content_Subtitle,Content_Wrapper
https://www.mprnews.org/story/2021/03/12/effort-to-increase-teachers-of-color-finds-bipartisan-support-at-state-capitol,Effort to increase teachers of color finds bipartisan support at state Capitol,"March 12, 2021 9:49 AM",NA,NA
https://www.mprnews.org/story/2016/01/28/teaching-board-resists-alternative-licensing,Teaching board fights court order on alternative license path,"January 29, 2016 4:00 AM",NA,NA
https://www.mprnews.org/story/2021/01/13/schools-are-poised-to-reopen-but-teachers-arent-vaccinated,"Schools are poised to reopen, but teachers aren’t vaccinated","January 13, 2021 4:00 AM",NA,NA
https://www.mprnews.org/story/2018/01/24/st-paul-teachers-union-authorize-strike-vote,St. Paul teachers authorize strike vote,"January 24, 2018 12:49 PM",NA,NA
https://www.mprnews.org/story/2012/12/17/minnesota-teachers-are-prepared-to-handle-school-shootings,Minnesota teachers are prepared to handle school shootings,"December 17, 2012 7:21 AM",NA,NA
https://www.mprnews.org/story/2023/11/27/facing-budget-crisis-rochester-proposes-closing-some-schools-moving-others,"Facing budget crisis, Rochester proposes closing some schools, moving others","November 27, 2023 8:45 AM",NA,NA
https://www.mprnews.org/story/2017/02/02/retention-problems-threaten-gains-in-hiring-teachers-of-color,Retention problems threaten gains in hiring teachers of color,"February 2, 2017 5:25 PM",NA,NA
https://www.mprnews.org/story/2016/05/16/abdul-wright-mn-teacher-of-the-year,Charter school teacher named Minnesota Teacher of the Year,"May 16, 2016 5:48 AM",NA,NA
https://www.mprnews.org/story/2020/08/24/cracking-the-giant-jigsaw-puzzle-minnesota-schools-scale-back-reopening-plans,Cracking the 'giant jigsaw puzzle': Minnesota schools scale back reopening plans,"August 24, 2020 1:33 PM",NA,NA
https://www.mprnews.org/story/2021/01/29/minnesotas-pilot-program-to-vaccinate-teachers,From golden tickets to ‘Hunger Games’: Minnesota’s pilot program to vaccinate teachers,"January 29, 2021 4:00 AM",NA,NA
https://www.mprnews.org/story/2016/10/19/minnesota-teachers-get-through-the-election-with-real-talk,"Minnesota teachers get through the election with real talk, and sometimes gourds","October 19, 2016 1:41 PM",NA,NA
https://www.mprnews.org/story/2020/07/17/mankato-state-u-s-minn-schools-confront-lack-of-teacher-diversity,MSU Mankato working with local schools to confront lack of teacher diversity,"July 17, 2020 11:50 AM",NA,NA
https://www.mprnews.org/story/2016/04/14/minnesota-teacher-tenure-laws-achievement-gap-lawsuit,Lawsuit alleges MN teacher tenure laws perpetuate achievement gap,"April 14, 2016 3:59 PM",NA,NA
https://www.mprnews.org/story/2009/11/28/school-district-negotiations-with-teachers-moving-slowly,School district negotiations with teachers moving slowly,"November 28, 2009 11:29 AM",NA,NA
https://www.mprnews.org/story/2018/06/12/hands-on-experience-gives-teachers-leg-up-on-bike-safety,Hands-on experience gives teachers leg up on bike safety,"June 12, 2018 4:00 AM",NA,NA
https://www.mprnews.org/story/2021/08/12/rochester-high-school-teacher-named-mn-teacher-of-the-year,Rochester high school teacher named MN Teacher of the Year,"August 12, 2021 5:30 AM",NA,NA
https://www.mprnews.org/story/2010/05/07/teacher-health-pools,Bill to create health insurance pools for teachers headed to Pawlenty,"May 7, 2010 6:54 AM",NA,NA
https://www.mprnews.org/story/2013/04/27/minn-teachers-union-ousts-leader-tom-dooher,Minn. teachers union ousts leader Tom Dooher,"April 27, 2013 1:29 PM",NA,NA
https://www.mprnews.org/episode/2020/03/09/policast-state-lawmaker-stops-inperson-visits-senate-takes-up-violence-prevention-measures,Policast: State lawmaker stops in-person visits; Senate takes up violence prevention measures,"March 9, 2020 12:00 AM",NA,NA
https://www.mprnews.org/episode/2020/03/09/policast-state-lawmaker-stops-inperson-visits-senate-takes-up-violence-prevention-measures,Policast: State lawmaker stops in-person visits; Senate takes up violence prevention measures,"March 9, 2020 12:00 AM",NA,NA
https://www.mprnews.org/story/2021/01/19/another-return-to-school-with-only-6000-vaccine-doses-for-mn-teachers-child-care-workers,"Another return to school, with only 6,000 vaccine doses for MN teachers, child care workers","January 19, 2021 5:47 PM",NA,NA
https://www.mprnews.org/story/2013/05/06/st-paul-science-educator-named-teacher-of-the-year,St. Paul science educator named Teacher of the Year,"May 6, 2013 6:00 AM",NA,NA
https://www.mprnews.org/story/2018/05/06/shakopee-educator-named-2018-minnesota-teacher-of-the-year,Shakopee educator named 2018 Minnesota Teacher of the Year,"May 6, 2018 4:30 PM",NA,NA
https://www.mprnews.org/story/2020/09/30/twin-cities-educators-seek-assurances-for-safe-return-to-classroom,Twin Cities educators seek assurances for safe return to classroom,"September 30, 2020 5:12 PM",NA,NA
https://www.mprnews.org/story/2011/08/15/dooher,State takes a step toward providing the evaluations teachers want and need,"August 15, 2011 5:00 AM",NA,NA
https://www.mprnews.org/story/2008/01/15/mplsteachers,Minneapolis teachers approve contract,"January 15, 2008 3:38 PM",NA,NA
https://www.mprnews.org/story/2019/01/22/minnesota-court-of-appeals-rejects-tenure-challenge-again,Minnesota Court of Appeals rejects tenure challenge again,"January 22, 2019 1:07 PM",NA,NA
https://www.mprnews.org/episode/2021/01/26/davis-hundreds-of-teachers-vaccinated-as-more-students-return-to-classrooms,Hundreds of teachers vaccinated as more students return to classrooms,"January 26, 2021 4:12 PM",NA,NA
https://www.mprnews.org/story/2009/10/14/mea-weekend,Traditional teachers' convention gives students long weekend,"October 15, 2009 3:00 AM",NA,NA
