District,School,City,Grade Level,Expenditures Per Pupil
BLOOMINGTON PUBLIC SCHOOL DISTRICT,OLSON MIDDLE,BLOOMINGTON,Middle,"14,414.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,POPLAR BRIDGE ELEMENTARY,BLOOMINGTON,Elementary,"14,294.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,RIDGEVIEW ELEMENTARY,BLOOMINGTON,Elementary,"13,266.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,VALLEY VIEW ELEMENTARY,BLOOMINGTON,Elementary,"17,291.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,VALLEY VIEW MIDDLE,BLOOMINGTON,Middle,"16,497.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,WASHBURN ELEMENTARY,BLOOMINGTON,Elementary,"15,844.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,WESTWOOD ELEMENTARY,BLOOMINGTON,Elementary,"17,686.00"
BLUE EARTH AREA PUBLIC SCHOOL,,BLUE EARTH,,"12,580.00"
BLUE EARTH AREA PUBLIC SCHOOL,BLUE EARTH AREA EARLY CHILDHOOD SPE,BLUE EARTH,Prekindergarten,"5,035.00"
BLUE EARTH AREA PUBLIC SCHOOL,BLUE EARTH AREA ELEMENTARY,BLUE EARTH,Elementary,"11,825.00"
BLUE EARTH AREA PUBLIC SCHOOL,BLUE EARTH AREA MIDDLE,BLUE EARTH,Middle,"14,454.00"
BLUE EARTH AREA PUBLIC SCHOOL,BLUE EARTH AREA SECONDARY,BLUE EARTH,High,"13,556.00"
BLUESKY CHARTER SCHOOL,,WEST SAINT PAUL,,"10,842.00"
BLUESKY CHARTER SCHOOL,BLUESKY CHARTER School,WEST SAINT PAUL,High,"10,842.00"
BLUFFVIEW MONTESSORI,,WINONA,,"10,764.00"
BLUFFVIEW MONTESSORI,BLUFFVIEW MONTESSORI,WINONA,Elementary,"10,764.00"
BRAHAM PUBLIC SCHOOL DISTRICT,,BRAHAM,,"10,364.00"
BRAHAM PUBLIC SCHOOL DISTRICT,BRAHAM AREA SECONDARY,BRAHAM,High,"11,558.00"
BRAHAM PUBLIC SCHOOL DISTRICT,BRAHAM ELEMENTARY,BRAHAM,Elementary,"9,480.00"
BRAINERD PUBLIC SCHOOL DISTRICT,,BRAINERD,,"12,318.00"
BRAINERD PUBLIC SCHOOL DISTRICT,BAXTER ELEMENTARY,BAXTER,Elementary,"11,504.00"
BRAINERD PUBLIC SCHOOL DISTRICT,BRAINERD EARLY CHILDHOOD SP. ED.,BRAINERD,Prekindergarten,"28,603.00"
BRAINERD PUBLIC SCHOOL DISTRICT,BRAINERD SENIOR HIGH,BRAINERD,High,"11,859.00"
BRAINERD PUBLIC SCHOOL DISTRICT,FORESTVIEW MIDDLE,BAXTER,Middle,"10,199.00"
BRAINERD PUBLIC SCHOOL DISTRICT,GARFIELD ELEMENTARY,BRAINERD,Elementary,"12,674.00"
BRAINERD PUBLIC SCHOOL DISTRICT,HARRISON ELEMENTARY,BRAINERD,Elementary,"14,382.00"
BRAINERD PUBLIC SCHOOL DISTRICT,ISD 181 LEARNING CENTER,BRAINERD,Other,"13,935.00"
BRAINERD PUBLIC SCHOOL DISTRICT,LINCOLN EDUCATION CENTER,BRAINERD,Other,"31,175.00"
BRAINERD PUBLIC SCHOOL DISTRICT,LOWELL ELEMENTARY,BRAINERD,Elementary,"11,809.00"
BRAINERD PUBLIC SCHOOL DISTRICT,MIDDLE LEVEL ALTERNATIVE PROGRAM,BRAINERD,Middle,"2,142.00"
BRAINERD PUBLIC SCHOOL DISTRICT,NISSWA ELEMENTARY,NISSWA,Elementary,"12,324.00"
BRAINERD PUBLIC SCHOOL DISTRICT,RIVERSIDE ELEMENTARY,BRAINERD,Elementary,"15,397.00"
BRANDON-EVANSVILLE PUBLIC SCHOOL,,BRANDON,,"11,207.00"
BRANDON-EVANSVILLE PUBLIC SCHOOL,BRANDON ELEMENTARY,BRANDON,Elementary,"10,500.00"
BRANDON-EVANSVILLE PUBLIC SCHOOL,BRANDON-EVANSVILLE HIGH School,BRANDON,High,"15,170.00"
BRANDON-EVANSVILLE PUBLIC SCHOOL,BRANDON-EVANSVILLE MIDDLE School,EVANSVILLE,Middle,"8,416.00"
BRANDON-EVANSVILLE PUBLIC SCHOOL,EVANSVILLE ELEMENTARY,EVANSVILLE,Elementary,"11,068.00"
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,,BRECKENRIDGE,,"12,366.00"
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,BRECKENRIDGE AREA LEARNING PROGRAM,BRECKENRIDGE,High,"13,304.00"
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,BRECKENRIDGE ELEMENTARY,BRECKENRIDGE,Elementary,"10,380.00"
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,BRECKENRIDGE MIDDLE,BRECKENRIDGE,Middle,"13,510.00"
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,BRECKENRIDGE SENIOR HIGH,BRECKENRIDGE,High,"14,657.00"
BRIGHT WATER ELEMENTARY,,MINNEAPOLIS,,"19,418.00"
BRIGHT WATER ELEMENTARY,BRIGHT WATER ELEMENTARY,MINNEAPOLIS,Elementary,"19,418.00"
BROOKLYN CENTER SCHOOL DISTRICT,,BROOKLYN CENTER,,"13,208.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER EARLY COLLEGE ACAD,BROOKLYN CENTER,High,"25,875.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER ECSE AGE 3 - 5,BROOKLYN CENTER,Prekindergarten,"4,488.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER HIGH School,BROOKLYN CENTER,High,"16,952.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER INDEPENDENT STUDY,BROOKLYN CENTER,High,"4,488.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER MIDDLE School,BROOKLYN CENTER,Middle,"10,267.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER MIDDLE School ALC,BROOKLYN CENTER,Middle,"4,488.00"
BROOKLYN CENTER SCHOOL DISTRICT,BROOKLYN CENTER SUMMER School,BROOKLYN CENTER,High,"4,488.00"
BROOKLYN CENTER SCHOOL DISTRICT,EARLE BROWN ELEMENTARY,BROOKLYN CENTER,Elementary,"13,813.00"
BROOKLYN CENTER SCHOOL DISTRICT,EARLY CHILDHOOD SPECIAL EDUCATION (,BROOKLYN CENTER,Prekindergarten,"4,488.00"
BROOKLYN CENTER SCHOOL DISTRICT,INSIGHT School OF MINNESOTA,BROOKLYN CENTER,High,"12,458.00"
BROWERVILLE PUBLIC SCHOOL DISTRICT,,BROWERVILLE,,"10,962.00"
BROWERVILLE PUBLIC SCHOOL DISTRICT,BROWERVILLE ELEMENTARY,BROWERVILLE,Elementary,"9,494.00"
BROWERVILLE PUBLIC SCHOOL DISTRICT,BROWERVILLE SECONDARY,BROWERVILLE,High,"13,266.00"
BROWNS VALLEY PUBLIC SCHOOL DIST.,,BROWNS VALLEY,,"14,444.00"
BROWNS VALLEY PUBLIC SCHOOL DIST.,BROWNS VALLEY ELEMENTARY,BROWNS VALLEY,Elementary,"14,938.00"
BROWNS VALLEY PUBLIC SCHOOL DIST.,BROWNS VALLEY MIDDLE,BROWNS VALLEY,Middle,"13,723.00"
BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,,HECTOR,,"13,795.00"
BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,BUFFALO LAKE-HECTOR ELEMENTARY,BUFFALO LAKE,Elementary,"14,748.00"
BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,BUFFALO LAKE-HECTOR SECONDARY,HECTOR,High,"13,354.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,,BUFFALO,,"11,776.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,BUFFALO COMMUNITY MIDDLE,BUFFALO,Middle,"10,634.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,BUFFALO EARLY CHILD. SP. ED PROGRAM,BUFFALO,Prekindergarten,"32,510.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,BUFFALO SENIOR HIGH,BUFFALO,High,"11,843.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,DISCOVERY ELEMENTARY,BUFFALO,Elementary,"12,939.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,HANOVER ELEMENTARY,HANOVER,Elementary,"10,890.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,MONTROSE ELEMENTARY,MONTROSE,Elementary,"13,186.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,NORTHWINDS ELEMENTARY,BUFFALO,Elementary,"11,493.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,PARKSIDE ELEMENTARY,BUFFALO,Elementary,"13,171.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,PHOENIX LEARNING CENTER,BUFFALO,High,"17,014.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,PRIDE TRANSITIONS,BUFFALO,High,"33,874.00"
BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOL,TATANKA ELEMENTARY,BUFFALO,Elementary,"10,828.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,,BURNSVILLE,,"14,825.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,BES TRANSITION PROGRAM,BURNSVILLE,High,"28,402.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,BURNSVILLE ALTERNATIVE HIGH School,EAGAN,High,"18,027.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,BURNSVILLE AREA LEARNING CENTER,BURNSVILLE,High,"10,257.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,BURNSVILLE HIGH School,BURNSVILLE,High,"13,436.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,BURNSVILLE SR HIGH EXTENDED DAY PRO,EAGAN,High,"8,426.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,DIAMONDHEAD READY TO LEARN,BURNSVILLE,Prekindergarten,"3,832.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,EAGLE RIDGE MIDDLE School,SAVAGE,Middle,"13,684.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,EARLY EDUCATION PROGRAM & SERVICES,BURNSVILLE,Prekindergarten,"47,480.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,EDWARD NEILL ELEMENTARY,BURNSVILLE,Elementary,"16,459.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,GIDEON POND ELEMENTARY,BURNSVILLE,Elementary,"13,024.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,HARRIET BISHOP ELEMENTARY,SAVAGE,Elementary,"14,136.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,HIDDEN VALLEY ELEMENTARY,SAVAGE,Elementary,"17,785.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,JOHN METCALF MIDDLE School,BURNSVILLE,Middle,"16,169.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,JOSEPH NICOLLET MIDDLE School,BURNSVILLE,Middle,"14,713.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,M.W. SAVAGE ELEMENTARY,SAVAGE,Elementary,"16,281.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,RAHN ELEMENTARY,EAGAN,Elementary,"17,573.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,SIOUX TRAIL ELEMENTARY,BURNSVILLE,Elementary,"15,445.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,SKY OAKS ELEMENTARY,BURNSVILLE,Elementary,"17,241.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,VISTA VIEW ELEMENTARY,BURNSVILLE,Elementary,"15,975.00"
BURNSVILLE PUBLIC SCHOOL DISTRICT,WILLIAM BYRNE ELEMENTARY,BURNSVILLE,Elementary,"13,628.00"
BUTTERFIELD PUBLIC SCHOOL DISTRICT,,BUTTERFIELD,,"15,884.00"
BUTTERFIELD PUBLIC SCHOOL DISTRICT,BUTTERFIELD ELEMENTARY,BUTTERFIELD,Elementary,"16,268.00"
BUTTERFIELD PUBLIC SCHOOL DISTRICT,BUTTERFIELD SECONDARY,BUTTERFIELD,High,"15,766.00"
BYRON PUBLIC SCHOOL DISTRICT,,BYRON,,"9,649.00"
BYRON PUBLIC SCHOOL DISTRICT,BYRON INTERMEDIATE School,BYRON,Elementary,"7,224.00"
BYRON PUBLIC SCHOOL DISTRICT,BYRON MIDDLE School,BYRON,Middle,"10,272.00"
BYRON PUBLIC SCHOOL DISTRICT,BYRON PRIMARY School,BYRON,Elementary,"9,538.00"
BYRON PUBLIC SCHOOL DISTRICT,BYRON SENIOR HIGH School,BYRON,High,"10,910.00"
CALEDONIA PUBLIC SCHOOL DISTRICT,,CALEDONIA,,"12,197.00"
CALEDONIA PUBLIC SCHOOL DISTRICT,CALEDONIA ELEMENTARY,CALEDONIA,Elementary,"12,802.00"
CALEDONIA PUBLIC SCHOOL DISTRICT,CALEDONIA MIDDLE,CALEDONIA,Middle,"9,901.00"
CALEDONIA PUBLIC SCHOOL DISTRICT,CALEDONIA SENIOR HIGH,CALEDONIA,High,"13,283.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,,CAMBRIDGE,,"11,666.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,CAMBRIDGE INTERMEDIATE School,CAMBRIDGE,Elementary,"11,808.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,CAMBRIDGE MIDDLE School,CAMBRIDGE,Middle,"10,750.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,CAMBRIDGE PRIMARY School,CAMBRIDGE,Elementary,"12,790.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,CAMBRIDGE-ISANTI HIGH School,CAMBRIDGE,High,"12,431.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,ISANTI INTERMEDIATE School,ISANTI,Elementary,"11,215.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,ISANTI MIDDLE School,ISANTI,Middle,"11,378.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,ISANTI PRIMARY School,ISANTI,Elementary,"12,873.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,MINNESOTA CENTER,ISANTI,Middle,"8,512.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,MOVING FORWARD,CAMBRIDGE,High,"2,422.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,RIVERSIDE ACADEMY,CAMBRIDGE,High,"13,105.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,RIVERSIDE ACADEMY IS,CAMBRIDGE,High,"3,501.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,RIVERSIDE ACADEMY MLP,CAMBRIDGE,Middle,"10,020.00"
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,School FOR ALL SEASONS,ISANTI,Elementary,"8,273.00"
CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,,CAMPBELL,,"17,035.00"
CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,CAMPBELL-TINTAH ELEMENTARY,CAMPBELL,Elementary,"15,831.00"
CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,CAMPBELL-TINTAH SECONDARY,CAMPBELL,High,"18,714.00"
CANBY PUBLIC SCHOOL DISTRICT,,CANBY,,"11,160.00"
CANBY PUBLIC SCHOOL DISTRICT,CANBY ELEMENTARY,CANBY,Elementary,"10,622.00"
CANBY PUBLIC SCHOOL DISTRICT,CANBY SECONDARY,CANBY,High,"11,785.00"
CANNON FALLS PUBLIC SCHOOL DISTRICT,,CANNON FALLS,,"11,298.00"
CANNON FALLS PUBLIC SCHOOL DISTRICT,CANNON FALLS ELEMENTARY,CANNON FALLS,Elementary,"11,853.00"
CANNON FALLS PUBLIC SCHOOL DISTRICT,CANNON FALLS SECONDARY,CANNON FALLS,High,"3,399.00"
CANNON RIVER STEM SCHOOL,,FARIBAULT,,"10,834.00"
CANNON RIVER STEM SCHOOL,CANNON RIVER STEM School,FARIBAULT,Elementary,"10,834.00"
CAREER PATHWAYS,,SAINT PAUL,,"15,364.00"
CAREER PATHWAYS,CAREER PATHWAYS,SAINT PAUL,High,"15,364.00"
CARLTON PUBLIC SCHOOL DISTRICT,,CARLTON,,"13,346.00"
CARLTON PUBLIC SCHOOL DISTRICT,CARLTON SECONDARY,CARLTON,High,"13,284.00"
CARLTON PUBLIC SCHOOL DISTRICT,MASH-KA-WISEN,SAWYER,High,"34,602.00"
CARLTON PUBLIC SCHOOL DISTRICT,SOUTH TERRACE ELEMENTARY,CARLTON,Elementary,"13,558.00"
CASS LAKE-BENA PUBLIC SCHOOL,,CASS LAKE,,"21,303.00"
CASS LAKE-BENA PUBLIC SCHOOL,CASS LAKE-BENA AREA LRNG. CNTR.,CASS LAKE,High,"21,734.00"
CASS LAKE-BENA PUBLIC SCHOOL,CASS LAKE-BENA ELEMENTARY,CASS LAKE,Elementary,"19,545.00"
CASS LAKE-BENA PUBLIC SCHOOL,CASS LAKE-BENA MIDDLE School,CASS LAKE,Middle,"22,279.00"
CASS LAKE-BENA PUBLIC SCHOOL,CASS LAKE-BENA SECONDARY,CASS LAKE,High,"25,363.00"
CEDAR MOUNTAIN SCHOOL DISTRICT,,MORGAN,,"13,321.00"
CEDAR MOUNTAIN SCHOOL DISTRICT,CEDAR MOUNTAIN ELEMENTARY,FRANKLIN,Elementary,"14,595.00"
CEDAR MOUNTAIN SCHOOL DISTRICT,CEDAR MOUNTAIN SECONDARY,MORGAN,High,"12,711.00"
CEDAR RIVERSIDE COMMUNITY SCHOOL,,MINNEAPOLIS,,"20,244.00"
CEDAR RIVERSIDE COMMUNITY SCHOOL,CEDAR RIVERSIDE COMMUNITY School,MINNEAPOLIS,Elementary,"20,244.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,,CIRCLE PINES,,"11,695.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,BLUE HERON ELEMENTARY,LINO LAKES,Elementary,"10,644.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,CALC TRANSITION,CIRCLE PINES,High,"13,546.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,CENTENNIAL AREA LEARNING CENTER,CIRCLE PINES,High,"32,273.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,CENTENNIAL ELEMENTARY,CIRCLE PINES,Elementary,"11,377.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,CENTENNIAL HIGH School,CIRCLE PINES,High,"11,477.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,CENTENNIAL MIDDLE,LINO LAKES,Middle,"10,498.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,CENTERVILLE ELEMENTARY,CENTERVILLE,Elementary,"11,272.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD CENTER,LINO LAKES,Prekindergarten,"32,396.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,GOLDEN LAKE ELEMENTARY,CIRCLE PINES,Elementary,"12,470.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,PINES School - ACS,LINO LAKES,High,"27,145.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,PINES School - NSP,LINO LAKES,High,"23,996.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,PINES School - RJC,LINO LAKES,High,"46,573.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,PINES School DAY PROGRAM,LINO LAKES,High,"28,708.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,PROJECT SEARCH,CIRCLE PINES,High,"22,419.00"
CENTENNIAL PUBLIC SCHOOL DISTRICT,RICE LAKE ELEMENTARY,LINO LAKES,Elementary,"10,505.00"
CENTRAL PUBLIC SCHOOL DISTRICT,,NORWOOD YOUNG AMERICA,,"11,001.00"
CENTRAL PUBLIC SCHOOL DISTRICT,CENTRAL ELEMENTARY,NORWOOD YOUNG AMERICA,Elementary,"10,102.00"
CENTRAL PUBLIC SCHOOL DISTRICT,CENTRAL MIDDLE,NORWOOD YOUNG AMERICA,Middle,"9,965.00"
CENTRAL PUBLIC SCHOOL DISTRICT,CENTRAL SENIOR HIGH,NORWOOD YOUNG AMERICA,High,"13,632.00"
CHATFIELD PUBLIC SCHOOL,,CHATFIELD,,"11,116.00"
CHATFIELD PUBLIC SCHOOL,CHATFIELD ELEMENTARY School,CHATFIELD,Elementary,"10,134.00"
CHATFIELD PUBLIC SCHOOL,CHATFIELD SECONDARY,CHATFIELD,High,"12,304.00"
CHATFIELD PUBLIC SCHOOL,FOCUS ALP,CHATFIELD,High,"37,924.00"
CHISAGO LAKES SCHOOL DISTRICT,,LINDSTROM,,"11,745.00"
CHISAGO LAKES SCHOOL DISTRICT,CHISAGO LAKES EL.,CHISAGO CITY,Elementary,"10,709.00"
CHISAGO LAKES SCHOOL DISTRICT,CHISAGO LAKES FAMILY CENTER,LINDSTROM,Prekindergarten,"25,684.00"
CHISAGO LAKES SCHOOL DISTRICT,CHISAGO LAKES HS ALT LEARNING PROG,LINDSTROM,High,"5,735.00"
CHISAGO LAKES SCHOOL DISTRICT,CHISAGO LAKES MIDDLE,LINDSTROM,Middle,"10,614.00"
CHISAGO LAKES SCHOOL DISTRICT,CHISAGO LAKES SENIOR HIGH,LINDSTROM,High,"12,347.00"
CHISAGO LAKES SCHOOL DISTRICT,FAIRVIEW DAY TREATMENT CENTER,CHISAGO CITY,High,"29,163.00"
CHISAGO LAKES SCHOOL DISTRICT,LAKESIDE EL.,CHISAGO CITY,Elementary,"10,244.00"
CHISAGO LAKES SCHOOL DISTRICT,TAYLORS FALLS ELEMENTARY,TAYLORS FALLS,Elementary,"13,119.00"
CHISHOLM PUBLIC SCHOOL DISTRICT,,CHISHOLM,,"13,322.00"
CHISHOLM PUBLIC SCHOOL DISTRICT,CHISHOLM ELEMENTARY,CHISHOLM,Middle,"12,075.00"
CHISHOLM PUBLIC SCHOOL DISTRICT,CHISHOLM SECONDARY,CHISHOLM,High,"14,250.00"
CHISHOLM PUBLIC SCHOOL DISTRICT,VAUGHAN ELEMENTARY,CHISHOLM,Elementary,"13,037.00"
CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,,CHOKIO,,"15,556.00"
CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,CHOKIO-ALBERTA ELEMENTARY,CHOKIO,Elementary,"14,944.00"
CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,CHOKIO-ALBERTA SECONDARY,CHOKIO,High,"16,191.00"
CITY ACADEMY,,SAINT PAUL,,"15,624.00"
CITY ACADEMY,CITY ACADEMY,SAINT PAUL,High,"15,624.00"
CLARKFIELD CHARTER SCHOOL,,CLARKFIELD,,"13,335.00"
CLARKFIELD CHARTER SCHOOL,CLARKFIELD CHARTER School,CLARKFIELD,Elementary,"13,335.00"
CLEARBROOK-GONVICK SCHOOL DISTRICT,,CLEARBROOK,,"12,065.00"
CLEARBROOK-GONVICK SCHOOL DISTRICT,CLEARBROOK-GONVICK ELEMENTARY,CLEARBROOK,Elementary,"12,123.00"
CLEARBROOK-GONVICK SCHOOL DISTRICT,CLEARBROOK-GONVICK SECONDARY,CLEARBROOK,High,"12,065.00"
CLEVELAND PUBLIC SCHOOL DISTRICT,,CLEVELAND,,"10,523.00"
CLEVELAND PUBLIC SCHOOL DISTRICT,CLEVELAND ELEMENTARY,CLEVELAND,Elementary,"10,475.00"
CLEVELAND PUBLIC SCHOOL DISTRICT,CLEVELAND SECONDARY,CLEVELAND,High,"10,725.00"
CLIMAX-SHELLY PUBLIC SCHOOL,,CLIMAX,,"11,669.00"
CLIMAX-SHELLY PUBLIC SCHOOL,CLIMAX ELEMENTARY,CLIMAX,Elementary,"11,177.00"
CLIMAX-SHELLY PUBLIC SCHOOL,CLIMAX SECONDARY,CLIMAX,High,"12,188.00"
CLINTON-GRACEVILLE-BEARDSLEY,,CLINTON,,"14,855.00"
CLINTON-GRACEVILLE-BEARDSLEY,CLINTON-GRACEVILLE-BEARDSLEY EL.,CLINTON,Elementary,"13,964.00"
CLINTON-GRACEVILLE-BEARDSLEY,CLINTON-GRACEVILLE-BEARDSLEY SR.,GRACEVILLE,High,"16,894.00"
CLINTON-GRACEVILLE-BEARDSLEY,LISMORE COLONY School,CLINTON,Other,"11,801.00"
CLOQUET PUBLIC SCHOOL DISTRICT,,CLOQUET,,"11,865.00"
CLOQUET PUBLIC SCHOOL DISTRICT,CAAEP EXTENDED DAY PROGRAM,CLOQUET,High,"3,366.00"
CLOQUET PUBLIC SCHOOL DISTRICT,CHURCHILL ELEMENTARY,CLOQUET,Elementary,"12,463.00"
CLOQUET PUBLIC SCHOOL DISTRICT,CLOQUET AREA ALT. ED. PROGRAMS,CLOQUET,Other,"18,351.00"
CLOQUET PUBLIC SCHOOL DISTRICT,CLOQUET EARLY CHILDHOOD EDUCATION,CLOQUET,Prekindergarten,"3,366.00"
CLOQUET PUBLIC SCHOOL DISTRICT,CLOQUET MIDDLE,CLOQUET,Middle,"11,118.00"
CLOQUET PUBLIC SCHOOL DISTRICT,CLOQUET SENIOR,CLOQUET,High,"13,227.00"
CLOQUET PUBLIC SCHOOL DISTRICT,SHARED TIME,CLOQUET,Elementary,"3,366.00"
CLOQUET PUBLIC SCHOOL DISTRICT,WASHINGTON ELEMENTARY,CLOQUET,Elementary,"12,106.00"
COLLEGE PREPARATORY ELEMENTARY,,SAINT PAUL,,"15,969.00"
COLLEGE PREPARATORY ELEMENTARY,COLLEGE PREPARATORY ELEMENTARY,SAINT PAUL,Elementary,"15,969.00"
COLOGNE ACADEMY,,COLOGNE,,"12,205.00"
COLOGNE ACADEMY,COLOGNE ACADEMY,COLOGNE,Elementary,"12,205.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,,COLUMBIA HEIGHTS,,"13,345.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,ANCHOR,COLUMBIA HEIGHTS,High,"13,337.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,COLUMBIA ACADEMY,COLUMBIA HEIGHTS,Middle,"12,741.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,COLUMBIA ACADEMY ANCHOR PROGRAM,COLUMBIA HEIGHTS,Middle,"37,560.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,COLUMBIA HEIGHTS SENIOR HIGH,COLUMBIA HEIGHTS,High,"14,624.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,COLUMBIA HEIGHTS TRANSITION PROGRAM,COLUMBIA HEIGHTS,High,"13,642.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,EARLY CHILDHOOD,COLUMBIA HEIGHTS,Prekindergarten,"22,059.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,HIGHLAND ELEMENTARY,COLUMBIA HEIGHTS,Elementary,"14,593.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,NORTH PARK ELEMENTARY,FRIDLEY,Elementary,"14,968.00"
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,VALLEY VIEW ELEMENTARY,COLUMBIA HEIGHTS,Elementary,"13,873.00"
COMFREY PUBLIC SCHOOL DISTRICT,,COMFREY,,"14,997.00"
COMFREY PUBLIC SCHOOL DISTRICT,COMFREY ELEMENTARY,COMFREY,Elementary,"16,323.00"
